"kwhTotal","dollars","chargeTimeHrs","distance","managerVehicle","facilityType","target"
"3.41","0.0","1.227222222","32.8745456","1","2","0.0"
"1.03","0.0","2.474166667","32.8745456","1","3","0.0"
"5.92","0.5","4.397222222","32.8745456","1","2","0.0"
"4.06","0.0","1.321666667","32.8745456","1","3","0.0"
"6.13","0.0","3.918055556","32.8745456","1","2","0.0"
"5.4","0.0","3.180555556","32.8745456","1","2","0.0"
"6.83","0.0","2.872222222","32.8745456","1","2","1.0"
"7.2","0.0","2.936388889","32.8745456","1","2","1.0"
"6.88","0.0","2.235","32.8745456","1","2","1.0"
"6.65","0.0","2.1575","32.8745456","1","2","1.0"
"6.8","0.0","2.252777778","32.8745456","1","2","1.0"
"7.03","0.0","3.877777778","32.8745456","1","2","1.0"
"3.07","0.0","1.411388889","32.8745456","0","3","0.0"
"1.07","0.0","0.351666667","32.8745456","0","3","0.0"
"2.66","0.0","2.429166667","32.8745456","0","3","0.0"
"6.55","0.0","2.298333333","32.8745456","0","3","0.0"
"3.6","0.0","3.634166667","32.8745456","0","3","0.0"
"5.21","0.0","3.629444444","32.8745456","0","3","0.0"
"1.27","0.0","1.245555556","32.8745456","0","3","1.0"
"3.49","0.0","3.039444444","32.8745456","0","3","0.0"
"3.85","0.0","2.763888889","32.8745456","0","3","0.0"
"4.01","0.0","1.846666667","32.8745456","0","3","1.0"
"0.93","0.0","2.365277778","32.8745456","0","3","0.0"
"0.75","0.0","1.611944444","32.8745456","0","3","1.0"
"2.26","0.0","3.851944444","32.8745456","0","3","0.0"
"0.7","0.0","3.658611111","32.8745456","0","3","0.0"
"6.06","0.0","3.189166667","32.8745456","0","3","0.0"
"2.86","0.0","3.894722222","32.8745456","0","3","0.0"
"5.94","0.0","2.954166667","32.8745456","0","3","0.0"
"6.31","0.0","3.472222222","32.8745456","0","3","0.0"
"4.76","0.0","2.911111111","32.8745456","0","3","0.0"
"6.47","5.75","6.602777778","32.8745456","0","3","1.0"
"5.61","0.0","3.413055556","20.695727","0","3","0.0"
"9.03","0.0","3.140277778","20.695727","0","3","0.0"
"6.95","0.0","2.455277778","20.695727","0","3","0.0"
"7.38","0.0","2.483055556","20.695727","0","3","0.0"
"6.69","0.0","2.245833333","20.695727","0","3","1.0"
"6.96","0.67","4.738333333","20.695727","0","3","1.0"
"6.86","0.0","3.580277778","20.695727","0","3","1.0"
"7.1","0.0","3.724444444","20.695727","0","3","1.0"
"4.66","0.0","3.179722222","20.695727","0","3","1.0"
"8.31","0.0","3.830277778","20.695727","0","3","1.0"
"6.64","0.0","2.188611111","20.695727","0","3","0.0"
"8.18","0.0","3.791944444","20.695727","0","3","1.0"
"3.36","0.0","1.1","20.2365124","0","3","0.0"
"7.8","0.0","2.905833333","20.695727","0","3","1.0"
"1.83","0.0","0.645555556","20.2365124","0","3","0.0"
"5.06","3.08","7.072777778","20.695727","0","3","1.0"
"6.95","0.0","2.506388889","20.2365124","0","3","0.0"
"5.61","0.0","1.878333333","20.2365124","0","3","0.0"
"4.87","0.0","1.822222222","20.2365124","0","3","0.0"
"7.06","0.0","2.358611111","20.2365124","0","3","0.0"
"2.34","0.0","1.533333333","20.2365124","0","3","0.0"
"4.27","0.0","1.463611111","20.2365124","0","3","0.0"
"7.08","0.0","2.867777778","20.2365124","0","3","0.0"
"3.04","0.0","0.970277778","20.2365124","0","3","0.0"
"1.88","0.0","1.301388889","20.695727","0","3","1.0"
"6.57","0.0","3.6975","20.695727","0","3","0.0"
"4.88","0.0","1.576944444","20.695727","0","3","0.0"
"2.08","0.0","0.726111111","20.2365124","0","3","0.0"
"4.17","0.0","1.379166667","20.695727","0","3","0.0"
"5.67","0.0","2.029722222","20.695727","0","3","0.0"
"3.7","0.0","1.219166667","20.2365124","0","3","0.0"
"3.57","0.0","1.149444444","20.2365124","0","3","0.0"
"4.4","0.0","1.431111111","20.2365124","0","3","0.0"
"3.66","0.0","1.1925","20.2365124","0","3","0.0"
"4.56","0.0","1.511666667","20.5987886","0","3","1.0"
"3.63","0.0","1.207222222","20.5987886","0","3","0.0"
"0.0","0.0","0.014722222","32.8745456","0","3","0.0"
"0.0","0.0","0.024722222","32.8745456","0","3","1.0"
"4.16","0.0","1.439722222","20.5987886","0","3","0.0"
"2.54","0.0","0.881111111","20.2365124","0","3","0.0"
"3.49","0.0","1.141666667","20.7814802","0","3","1.0"
"1.4","0.0","0.481388889","20.2365124","0","3","0.0"
"2.28","0.0","1.188055556","20.2365124","0","3","0.0"
"1.4","0.0","0.803888889","20.2365124","0","3","0.0"
"0.46","0.0","1.213055556","20.2365124","0","3","0.0"
"2.5","0.0","0.832777778","20.5987886","0","3","0.0"
"2.32","0.0","0.791111111","20.2365124","0","3","0.0"
"6.19","0.0","2.345833333","20.8336778","0","3","0.0"
"6.93","0.0","2.854444444","24.8566214","1","1","1.0"
"6.76","0.0","2.728055556","24.8566214","1","1","1.0"
"6.83","0.0","2.680555556","24.8566214","1","1","1.0"
"6.77","0.0","2.867222222","24.8566214","1","1","1.0"
"6.54","0.0","2.863055556","24.8566214","1","1","1.0"
"6.85","0.0","2.180555556","24.8566214","1","1","1.0"
"7.08","0.0","2.927777778","24.8566214","1","1","1.0"
"6.57","0.0","2.958055556","24.8566214","1","1","1.0"
"6.87","0.0","3.407222222","24.8566214","1","1","1.0"
"6.76","0.5","4.591388889","24.8566214","1","1","1.0"
"6.73","0.0","3.650555556","24.8566214","1","1","1.0"
"6.81","0.0","3.285","24.8566214","1","1","1.0"
"6.26","0.0","3.314166667","24.8566214","1","1","1.0"
"6.85","0.0","3.2075","24.8566214","1","1","1.0"
"6.2","0.0","3.704166667","24.8566214","1","1","1.0"
"6.78","0.83","4.896944444","24.8566214","1","1","1.0"
"6.92","0.0","3.515555556","24.8566214","1","1","1.0"
